거래 #,타입,날짜 및 시간,신호,가격 USD,포지션 크기 (수량),포지션 크기 (가치),순손익 USD,순손익 %,유리한 변동 USD,유리한 변동 %,불리한 변동 USD,불리한 변동 %,누적 손익 USD,누적 손익 %
11,매수 진입,2023-01-06 21:20,L1,1837.1,92.29,169545.959,181.81,0.11,181.81,0.11,-222.42,-0.13,3340.12,33.40
12,매수 청산,2023-01-06 22:30,XL2,1839.07,112.8,207002.664,444.43,0.21,444.43,0.21,-49.63,-0.02,3784.55,37.85
12,매수 진입,2023-01-06 22:20,L2,1835.13,112.8,207002.664,444.43,0.21,444.43,0.21,-49.63,-0.02,3784.55,37.85
13,매수 청산,2023-01-09 22:20,XL1,1876.985,80.27,150665.5859,0,0.00,323.89,0.21,-515.73,-0.34,3784.55,37.85
13,매수 진입,2023-01-09 12:20,L1,1876.985,80.27,150665.5859,0,0.00,323.89,0.21,-515.73,-0.34,3784.55,37.85
14,매수 청산,2023-01-09 22:20,XL2,1876.985,98.11,183928.7792,222.22,0.12,222.22,0.12,-408.14,-0.22,4006.77,40.07
14,매수 진입,2023-01-09 16:40,L2,1874.72,98.11,183928.7792,222.22,0.12,222.22,0.12,-408.14,-0.22,4006.77,40.07
15,매수 청산,2023-01-09 22:20,XL3,1876.985,126.14,236191.4737,571.41,0.24,571.41,0.24,-239.04,-0.10,4578.19,45.78
15,매수 진입,2023-01-09 18:00,L3,1872.455,126.14,236191.4737,571.41,0.24,571.41,0.24,-239.04,-0.10,4578.19,45.78
16,매수 청산,2023-01-10 20:20,XL1,1875.87,101.29,190006.8723,0,0.00,32.41,0.02,-241.58,-0.13,4578.19,45.78
16,매수 진입,2023-01-10 19:10,L1,1875.87,101.29,190006.8723,0,0.00,32.41,0.02,-241.58,-0.13,4578.19,45.78
17,매수 청산,2023-01-10 20:20,XL2,1875.87,123.8,232010.485,222.22,0.10,222.22,0.10,-73.04,-0.03,4800.41,48.00
17,매수 진입,2023-01-10 19:40,L2,1874.075,123.8,232010.485,222.22,0.10,222.22,0.10,-73.04,-0.03,4800.41,48.00
18,매수 청산,2023-01-11 05:10,XL1,1877.42,44.5,83545.19,0,0.00,18.25,0.02,-272.79,-0.33,4800.41,48.00
18,매수 진입,2023-01-11 00:40,L1,1877.42,44.5,83545.19,0,0.00,18.25,0.02,-272.79,-0.33,4800.41,48.00
19,매수 청산,2023-01-11 05:10,XL2,1877.42,54.39,101890.6907,222.18,0.22,222.18,0.22,-111.23,-0.11,5022.59,50.23
19,매수 진입,2023-01-11 01:40,L2,1873.335,54.39,101890.6907,222.18,0.22,222.18,0.22,-111.23,-0.11,5022.59,50.23
20,매수 청산,2023-01-11 16:20,XL1,1882.865,265.42,499204.5902,545.44,0.11,570.65,0.11,-110.15,-0.02,5568.03,55.68
20,매수 진입,2023-01-11 16:00,L1,1880.81,265.42,499204.5902,545.44,0.11,570.65,0.11,-110.15,-0.02,5568.03,55.68
21,매수 청산,2023-01-11 23:40,XL1,1873.19,90,169587,-999.9,-0.59,162,0.10,-999.9,-0.59,4568.13,45.68
21,매수 진입,2023-01-11 19:30,L1,1884.3,90,169587,-999.9,-0.59,162,0.10,-999.9,-0.59,4568.13,45.68
22,매수 청산,2023-01-11 23:40,XL2,1873.19,110.01,207069.6228,-999.99,-0.48,74.26,0.04,-999.99,-0.48,3568.14,35.68
22,매수 진입,2023-01-11 21:00,L2,1882.28,110.01,207069.6228,-999.99,-0.48,74.26,0.04,-999.99,-0.48,3568.14,35.68
23,매수 청산,2023-01-11 23:40,XL3,1873.19,141.44,265943.9744,-999.98,-0.38,30.41,0.01,-999.98,-0.38,2568.16,25.68
23,매수 진입,2023-01-11 21:10,L3,1880.26,141.44,265943.9744,-999.98,-0.38,30.41,0.01,-999.98,-0.38,2568.16,25.68
24,매수 청산,2023-01-11 23:40,XL4,1873.19,198.01,371910.3024,-999.95,-0.27,442.55,0.12,-999.95,-0.27,1568.21,15.68
