time,open,high,low,close,"Bollinger Upper Band (20,2)","Bollinger Lower Band (20,2)","(20,2) Upper Band 미리보기","(20,2) Lower Band 미리보기","Bollinger Upper Band (4,4)","Bollinger Lower Band (4,4)","(4,4) Lower Band 미리보기","(4,4) Upper Band 미리보기",20-Period Moving Average,120-Period Moving Average,WMA1,WMA1 미리보기,WMA2,WMA2 미리보기,더블비 매도,더블비 매수,원비 매도,원비 매수,아시아 박스 상단값,아시아 박스 하단값,20 SMA,120 SMA,골든 크로스,데드 크로스,Xtrender Up Turn,Xtrender Down Turn,RSI (14),상승 다이버전스,Plot,히든 상승 다이버전스,Plot.1,하락 다이버전스,Plot.2,히든 하락 다이버전스,Plot.3,더블비 매도.1,더블비 매수.1,(매수) signal,(매도) signal,골든 크로스.1,데드 크로스.1,RSI Basis (plot),RSI Upper (plot),RSI Lower (plot),RSI Disp Up (plot),RSI Disp Down (plot),Current RSI Colored (plot)
2023-09-04T11:40:00+09:00,1945.355,1946.04,1945.32,1945.985,1945.2744740080088,1938.639525992004,1945.2744740439284,1938.6395259560563,1946.7254615840725,1942.477038415938,1942.4770385281847,1946.725461471842,1942.2679999999923,1941.926625,1944.8365,1944.8365,1943.0945098039213,1943.0945098039213,0,0,0,0,1940.455,1939.475,1942.2679999999923,1941.926625,0,0,,,74.47295937788007,0.0,,0.0,,0.0,74.47295937788007,0.0,74.47295937788007,0,0,0,0,0,0,62.25289750389096,77.02533361675958,47.48046139102234,65.20738472646468,59.29841028131723,74.47295937788007
2023-09-04T11:50:00+09:00,1945.985,1946.16,1945.585,1945.77,1945.8600375548413,1938.675962445171,1945.8600375877552,1938.6759624122292,1947.6654827835505,1942.54201721646,1942.5420173095367,1947.6654826904887,1942.5494999999923,1941.9764166666664,1945.39,1945.39,1943.5054901960784,1943.5054901960784,0,0,0,0,1940.455,1939.475,1942.5494999999923,1941.9764166666664,0,0,,,72.37272603715661,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,63.216690697535306,77.8008160480737,48.63256534699691,66.13351576764299,60.29986562742763,72.37272603715661
2023-09-04T12:00:00+09:00,1945.77,1946.07,1945.525,1945.77,1946.308873458133,1938.7901265418789,1946.3088734890864,1938.7901265108983,1947.260504458525,1943.704495541485,1943.7044956755867,1947.26050432444,1942.8194999999923,1942.024875,1945.6565000000005,1945.6565000000005,1943.857614379085,1943.857614379085,0,0,0,0,1940.455,1939.475,1942.8194999999923,1942.024875,0,0,,,72.37272603715661,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,64.08869406321352,78.56879425016822,49.60859387625882,66.98471410060446,61.19267402582258,72.37272603715661
2023-09-04T12:10:00+09:00,1945.77,1945.89,1945.365,1945.785,1946.6880357436075,1938.950964256404,1946.688035773687,1938.9509642262976,1946.6331264172773,1944.8068735827328,1944.8068738397624,1946.633126160264,1943.0769999999925,1942.0728749999996,1945.7715,1945.7715,1944.173398692811,1944.173398692811,0,0,0,0,1940.455,1939.475,1943.0769999999925,1942.0728749999996,0,0,,34.543359388393384,72.43562438843801,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,1,64.88363980847299,79.40203927965848,50.3652403372875,67.78731970271009,61.97995991423589,72.43562438843801
2023-09-04T12:20:00+09:00,1945.785,1945.915,1945.55,1945.605,1947.0146101629864,1939.1393898370256,1947.0146101927744,1939.1393898072108,1946.19205430756,1945.462945692451,1945.4629463362407,1946.1920536637856,1943.346749999992,1942.1295,1945.7975,1945.7975,1944.4567647058825,1944.4567647058825,0,0,0,0,1940.455,1939.475,1943.346749999992,1942.1295,0,0,,,70.36535880070838,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,65.40570828392399,78.62380288625417,52.18761368159381,68.04932720439002,62.762089363457946,70.36535880070838
2023-09-04T12:30:00+09:00,1945.605,1945.89,1945.56,1945.6,1947.2000515124064,1939.4934484876053,1947.2000515435716,1939.493448456413,1946.027965486252,1945.437034513758,1945.4370353206928,1946.0279646793344,1943.598999999992,1942.1822499999996,1945.7085,1945.7085,1944.6884313725488,1944.6884313725488,0,0,0,0,1940.455,1939.475,1943.598999999992,1942.1822499999996,0,0,,,70.3052492073688,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,65.87233122901397,78.19325416674478,53.55140829128315,68.33651581656012,63.4081466414678,70.3052492073688
2023-09-04T12:40:00+09:00,1945.6,1945.675,1945.315,1945.335,1947.34734173886,1939.8506582611524,1947.347341771395,1939.8506582285895,1946.040713350743,1945.339286649267,1945.3392873184644,1946.040712681562,1943.818999999992,1942.2307916666664,1945.6555,1945.6555,1944.8911111111115,1944.8911111111115,0,0,0,1,1940.455,1939.475,1943.818999999992,1942.2307916666664,0,0,,,67.03667821334213,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,65.9832214179976,77.7030309836245,54.263411852370695,68.32718333112298,63.63925950487221,67.03667821334213
2023-09-04T12:50:00+09:00,1945.335,1945.42,1944.93,1945.005,1947.430069896203,1940.2079301038093,1947.4300699292007,1940.2079300707835,1946.2233363278424,1944.939163672168,1944.939164043495,1946.223335956532,1944.006499999992,1942.2686666666664,1945.5135,1945.5135,1945.039117647059,1945.039117647059,0,0,0,1,1940.455,1939.475,1944.006499999992,1942.2686666666664,0,0,,,63.10236820099862,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,65.70885444495008,77.22784955501695,54.1898593348832,68.01265346696346,63.40505542293671,63.10236820099862
2023-09-04T13:00:00+09:00,1945.005,1945.205,1944.985,1945.165,1947.451162653211,1940.5618373468008,1947.451162687804,1940.5618373121804,1946.3691410655283,1944.4033589344824,1944.403359173269,1946.3691408267575,1944.177749999992,1942.301791666666,1945.283,1945.283,1945.1219281045755,1945.1219281045755,0,0,0,0,1940.455,1939.475,1944.177749999992,1942.301791666666,0,0,,,64.19944388928023,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,65.5651010586958,77.09922691475484,54.03097520263676,67.87192622990761,63.258275887484,64.19944388928023
2023-09-04T13:10:00+09:00,1945.165,1945.185,1944.57,1944.63,1947.4927785894,1940.862721410612,1947.4927786250655,1940.8627213749185,1946.157655041805,1944.3948449582056,1944.3948452202587,1946.157654779768,1944.360749999992,1942.3251666666663,1945.1945,1945.1945,1945.202549019608,1945.202549019608,0,0,0,0,1940.455,1939.475,1944.360749999992,1942.3251666666663,0,0,,,57.990555540242106,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,64.84371577122403,75.83925155891848,53.848179983529576,67.04282292876292,62.644608613685136,57.990555540242106
